#      date    value 
 2030-03-16 3.21596e-05 
 2030-04-16 3.18491e-05 
 2030-05-16 3.25334e-05 
 2030-06-16 3.32203e-05 
 2030-07-16 3.32391e-05 
 2030-08-16 3.2872e-05 
 2030-09-16 3.2482e-05 
 2030-10-16 3.15362e-05 
 2030-11-16 3.19653e-05 
 2030-12-16 3.31344e-05 
 2031-01-16 3.27325e-05 
 2031-02-15 3.23254e-05 
 2031-03-16 3.28457e-05 
 2031-04-16 3.17911e-05 
 2031-05-16 3.25178e-05 
 2031-06-16 3.33927e-05 
 2031-07-16 3.28993e-05 
 2031-08-16 3.33634e-05 
 2031-09-16 3.25683e-05 
 2031-10-16 3.18437e-05 
 2031-11-16 3.18538e-05 
 2031-12-16 3.23228e-05 
 2032-01-16 3.29448e-05 
 2032-02-15 3.2237e-05 
 2032-03-16 3.20307e-05 
 2032-04-16 3.18974e-05 
 2032-05-16 3.20564e-05 
 2032-06-16 3.32578e-05 
 2032-07-16 3.3188e-05 
 2032-08-16 3.30643e-05 
 2032-09-16 3.25967e-05 
 2032-10-16 3.16749e-05 
 2032-11-16 3.23292e-05 
 2032-12-16 3.2256e-05 
 2033-01-16 3.30568e-05 
 2033-02-15 3.28347e-05 
 2033-03-16 3.21666e-05 
 2033-04-16 3.21667e-05 
 2033-05-16 3.30767e-05 
 2033-06-16 3.32998e-05 
 2033-07-16 3.33444e-05 
 2033-08-16 3.283e-05 
 2033-09-16 3.20189e-05 
 2033-10-16 3.14965e-05 
 2033-11-16 3.16213e-05 
 2033-12-16 3.27433e-05 
 2034-01-16 3.23419e-05 
 2034-02-15 3.27032e-05 
 2034-03-16 3.19557e-05 
 2034-04-16 3.2302e-05 
 2034-05-16 3.23645e-05 
 2034-06-16 3.36774e-05 
 2034-07-16 3.33057e-05 
 2034-08-16 3.28474e-05 
 2034-09-16 3.22616e-05 
 2034-10-16 3.15918e-05 
 2034-11-16 3.23361e-05 
 2034-12-16 3.26531e-05 
 2035-01-16 3.25045e-05 
 2035-02-15 3.2652e-05 
 2035-03-16 3.17386e-05 
 2035-04-16 3.22116e-05 
 2035-05-16 3.25203e-05 
 2035-06-16 3.35277e-05 
 2035-07-16 3.33502e-05 
 2035-08-16 3.31107e-05 
 2035-09-16 3.21421e-05 
 2035-10-16 3.1603e-05 
 2035-11-16 3.16292e-05 
 2035-12-16 3.27853e-05 
 2036-01-16 3.3155e-05 
 2036-02-15 3.21865e-05 
 2036-03-16 3.2208e-05 
 2036-04-16 3.19577e-05 
 2036-05-16 3.23049e-05 
 2036-06-16 3.29837e-05 
 2036-07-16 3.3193e-05 
 2036-08-16 3.29789e-05 
 2036-09-16 3.22022e-05 
 2036-10-16 3.20177e-05 
 2036-11-16 3.21114e-05 
 2036-12-16 3.28319e-05 
 2037-01-16 3.27085e-05 
 2037-02-15 3.28665e-05 
 2037-03-16 3.22639e-05 
 2037-04-16 3.25412e-05 
 2037-05-16 3.26642e-05 
 2037-06-16 3.35767e-05 
 2037-07-16 3.30862e-05 
 2037-08-16 3.26674e-05 
 2037-09-16 3.2421e-05 
 2037-10-16 3.22738e-05 
 2037-11-16 3.20944e-05 
 2037-12-16 3.26416e-05 
 2038-01-16 3.26963e-05 
 2038-02-15 3.2398e-05 
 2038-03-16 3.2365e-05 
 2038-04-16 3.26234e-05 
 2038-05-16 3.28433e-05 
 2038-06-16 3.30702e-05 
 2038-07-16 3.33499e-05 
 2038-08-16 3.32439e-05 
 2038-09-16 3.30524e-05 
 2038-10-16 3.2117e-05 
 2038-11-16 3.23772e-05 
 2038-12-16 3.26771e-05 
 2039-01-16 3.27355e-05 
 2039-02-15 3.2246e-05 
 2039-03-16 3.20977e-05 
 2039-04-16 3.17788e-05 
 2039-05-16 3.27607e-05 
 2039-06-16 3.37654e-05 
 2039-07-16 3.35377e-05 
 2039-08-16 3.3536e-05 
 2039-09-16 3.24505e-05 
 2039-10-16 3.18937e-05 
 2039-11-16 3.21332e-05 
 2039-12-16 3.30694e-05 
 2040-01-16 3.28263e-05 
 2040-02-15 3.31179e-05 
 2040-03-16 3.25495e-05 
 2040-04-16 3.26273e-05 
 2040-05-16 3.30705e-05 
 2040-06-16 3.37254e-05 
 2040-07-16 3.34586e-05 
 2040-08-16 3.31488e-05 
 2040-09-16 3.28233e-05 
 2040-10-16 3.22501e-05 
